time[s],setpoint[rad],velocity[rad]
 61.480000,5941.54932,5941.54590
 61.482500,5941.54932,5941.55225
 61.485000,5941.54932,5941.55908
 61.487500,5941.54932,5941.55518
 61.490000,5941.54932,5941.56152
 61.492500,5941.54932,5941.56152
 61.495000,5941.54932,5941.54883
 61.497500,5941.54932,5941.56201
 61.500000,5941.54932,5941.55371
 61.502500,5941.54932,5941.55371
 61.505000,5941.54932,5941.54395
 61.507500,5941.54932,5941.55859
 61.510000,5941.54932,5941.54883
 61.512500,5941.54932,5941.55664
 61.515000,5941.54932,5941.55078
 61.517500,5941.54932,5941.55811
 61.520000,5941.54932,5941.52588
 61.522500,5941.54932,5941.52588
 61.525000,5941.54932,5941.56934
 61.527500,5941.54932,5941.54443
 61.530000,5941.54932,5941.53760
 61.532500,5941.54932,5941.53906
 61.535000,5941.54932,5941.53906
 61.537500,5941.54932,5941.53564
 61.540000,5941.54932,5941.57520
 61.542500,5941.54932,5941.53516
 61.545000,5941.54932,5941.56934
 61.547500,5941.54932,5941.54102
 61.550000,5941.54932,5941.54102
 61.552500,5941.54932,5941.53955
 61.555000,5941.54932,5941.56836
 61.557500,5941.54932,5941.52100
 61.560000,5941.54932,5941.52100
 61.562500,5941.54932,5941.55713
 61.565000,5941.54932,5941.55176
 61.567500,5941.54932,5941.55176
 61.570000,5941.54932,5941.55811
 61.572500,5941.54932,5941.54297
 61.575000,5941.54932,5941.56836
 61.577500,5941.54932,5941.54443
 61.580000,5941.54932,5941.54443
 61.582500,5941.54932,5941.52344
 61.585000,5941.54932,5941.56738
 61.587500,5941.54932,5941.54297
 61.590000,5941.54932,5941.54053
 61.592500,5941.54932,5941.54102
 61.595000,5941.54932,5941.53467
 61.597500,5941.54932,5941.53467
 61.600000,4052.66870,5941.57617
 61.602500,4052.66870,5318.81006
 61.605000,4052.66870,4901.41504
 61.607500,4052.66870,4621.58008
 61.610000,4052.66870,4621.58008
 61.612500,4052.66870,4434.00293
 61.615000,4052.66870,4224.02490
 61.617500,4052.66870,4167.52832
 61.620000,4052.66870,4167.52832
 61.622500,4052.66870,4129.66553
 61.625000,4052.66870,4087.25464
 61.627500,4052.66870,4075.83130
 61.630000,4052.66870,4075.83130
 61.632500,4052.66870,4068.23413
 61.635000,4052.66870,4063.09033
 61.637500,4052.66870,4057.35669
 61.640000,4052.66870,4057.35669
 61.642500,4052.66870,4055.80786
 61.645000,4052.66870,4054.77271
 61.647500,4052.66870,4054.01636
 61.650000,4052.66870,4053.34570
 61.652500,4052.66870,4053.34570
 61.655000,4052.66870,4053.10083
 61.657500,4052.66870,4052.91650
 61.660000,4052.66870,4052.89136
 61.662500,4052.66870,4052.80298
 61.665000,4052.66870,4052.72754
 61.667500,4052.66870,4052.72754
