time[s],setpoint[kRPM],velocity[kRPM]
3.495258,4485.22,4465.57
3.500452,4485.22,4465.57
3.505663,4485.22,4465.57
3.511078,4485.22,4465.71
3.516369,4485.22,4465.71
3.521631,4485.22,4465.86
3.526878,4485.22,4466.14
3.532125,4485.22,4466.43
3.537386,4485.22,4466.57
3.542671,4485.22,4466.71
3.547882,4485.22,4467.0
3.55304,4485.22,4467.29
3.558276,4485.22,4467.43
3.563532,4485.22,4467.57
3.568783,4485.22,4468.0
3.573998,4485.22,4468.14
3.579254,4485.22,4468.29
3.584541,4485.22,4468.43
3.589803,4485.22,4468.71
3.595206,4485.22,4469.0
3.600633,4485.22,4469.0
3.605909,4485.22,4469.14
3.611333,4485.22,4469.29
3.616794,4485.22,4469.43
3.62215,4485.22,4469.43
3.627586,4485.22,4469.43
3.632815,4485.22,4469.57
3.638024,4485.22,4469.71
3.643268,4485.22,4469.71
3.648511,4485.22,4469.71
3.653691,4485.22,4469.71
3.658916,4485.22,4469.86
3.664133,4485.22,4470.0
3.669379,4485.22,4470.0
3.674624,4485.22,4470.14
3.680021,4485.22,4470.14
3.685344,4485.22,4470.29
3.690707,4485.22,4470.29
3.695973,4485.22,4470.29
3.701168,4485.22,4470.43
3.706379,4485.22,4470.57
3.711802,4485.22,4470.57
3.717063,4485.22,4470.57
3.722314,4485.22,4470.86
3.727602,4485.22,4471.0
3.733039,4485.22,4471.0
3.738325,4485.22,4470.86
3.743603,4485.22,4471.0
3.748936,4485.22,4471.14
3.754157,4485.22,4471.29
3.759378,4485.22,4471.14
3.764685,4485.22,4471.29
3.769981,4485.22,4471.57
3.775256,4485.22,4471.57
3.780514,4485.22,4471.57
3.785748,4485.22,4471.57
3.791016,4485.22,4471.71
3.796204,4485.22,4471.71
3.801402,4485.22,4471.71
3.80656,4485.22,4472.0
3.811759,4485.22,4472.0
3.816921,4485.22,4472.0
3.822119,4485.22,4472.14
3.827338,4485.22,4472.14
3.83252,4485.22,4472.14
3.837714,4485.22,4472.14
3.842956,4485.22,4472.29
3.848371,4485.22,4472.57
3.853679,4485.22,4472.43
3.858993,4485.22,4472.43
3.86421,4485.22,4472.57
3.869453,4485.22,4472.71
3.874666,4485.22,4472.71
3.87989,4485.22,4472.71
3.885058,4485.22,4472.86
3.890304,4485.22,4473.0
3.895553,4485.22,4472.86
3.900851,4485.22,4473.0
3.906092,4485.22,4473.14
3.911321,4485.22,4473.14
3.916789,4485.22,4473.14
3.92203,4485.22,4473.14
3.927272,4485.22,4473.29
3.932471,4485.22,4473.43
3.937722,4485.22,4473.29
3.942964,4485.22,4473.43
3.948219,4485.22,4473.57
3.953514,4485.22,4473.71
3.958714,4485.22,4473.57
3.96399,4485.22,4473.71
3.969199,4485.22,4473.86
3.974552,4485.22,4473.86
3.979841,4485.22,4473.86
3.985061,4485.22,4473.86
3.990449,4485.22,4474.0
3.995875,4485.22,4474.14
4.001085,5684.85,4474.14
4.006506,5684.85,4474.71
4.011734,5684.85,4476.43
4.016882,5684.85,4480.14
4.022249,5684.85,4486.29
4.027531,5684.85,4494.14
4.032748,5684.85,4504.14
4.037999,5684.85,4516.14
4.043403,5684.85,4530.14
4.04865,5684.85,4545.29
4.053842,5684.85,4561.43
4.059025,5684.85,4578.29
4.064195,5684.85,4596.0
4.069444,5684.85,4614.86
4.074832,5684.85,4634.71
4.080239,5684.85,4655.14
4.085557,5684.85,4675.14
4.090824,5684.85,4695.29
4.09607,5684.85,4715.43
4.101349,5684.85,4736.29
4.106789,5684.85,4756.86
4.112226,5684.85,4777.86
4.117501,5684.85,4797.71
4.122774,5684.85,4817.57
4.128045,5684.85,4837.71
4.13324,5684.85,4857.0
4.138414,5684.85,4875.86
4.143652,5684.85,4895.29
4.148891,5684.85,4914.14
4.154097,5684.85,4932.86
4.15933,5684.85,4951.71
4.164544,5684.85,4970.0
4.169758,5684.85,4988.71
4.175004,5684.85,5007.0
4.180282,5684.85,5025.43
4.185484,5684.85,5043.43
4.190779,5684.85,5061.86
4.196205,5684.85,5080.86
4.201514,5684.85,5098.86
4.206812,5684.85,5117.0
4.212092,5684.85,5135.0
4.217377,5684.85,5153.0
4.22266,5684.85,5171.29
4.227859,5684.85,5189.0
4.23302,5684.85,5206.43
4.238215,5684.85,5224.57
4.243439,5684.85,5242.14
4.248625,5684.85,5259.86
4.253912,5684.85,5277.71
4.259084,5684.85,5295.43
4.264273,5684.85,5313.14
4.269516,5684.85,5331.0
4.274726,5684.85,5349.0
4.279921,5684.85,5366.57
4.285063,5684.85,5384.43
4.290296,5684.85,5402.14
4.295486,5684.85,5419.86
4.300761,5684.85,5438.14
4.306008,5684.85,5456.0
4.311293,5684.85,5474.14
4.316797,5684.85,5493.14
4.322021,5684.85,5511.0
4.327295,5684.85,5529.14
4.332811,5684.85,5548.0
4.338074,5684.85,5566.29
4.343339,5684.85,5583.43
4.348608,5684.85,5599.57
4.353798,5684.85,5613.14
4.359018,5684.85,5624.86
4.364262,5684.85,5634.43
4.36945,5684.85,5642.14
4.374645,5684.85,5648.14
4.379854,5684.85,5652.57
4.385065,5684.85,5655.86
4.390264,5684.85,5657.86
4.395488,5684.85,5659.0
4.40067,5684.85,5659.57
4.40588,5684.85,5659.14
4.411002,5684.85,5658.43
4.416163,5684.85,5657.43
4.421311,5684.85,5656.0
4.426447,5684.85,5654.71
4.431594,5684.85,5653.0
4.436751,5684.85,5651.43
4.441895,5684.85,5649.71
4.447006,5684.85,5648.14
4.45215,5684.85,5646.71
4.457268,5684.85,5645.29
4.462502,5684.85,5644.0
4.467654,5684.85,5642.86
4.472906,5684.85,5641.71
4.47814,5684.85,5641.0
4.483397,5684.85,5640.29
4.488668,5684.85,5639.71
4.493887,5684.85,5639.29
4.499063,5684.85,5638.86
4.504228,5684.85,5638.71
4.509419,5684.85,5638.43
